name,SALE,price(Rub),available_sizes(EU),img,link
BearBrick Minions 400%,NO,29900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbminmain-730x438.png,https://kicksmania.ru/product/bearbrick-minions-400/
BearBrick Mr. Incredibles 400%+100%,NO,21900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbincmain-730x438.png,https://kicksmania.ru/product/bearbrick-mr-incredibles-400-100/
Bearbrick Nike Tech Fleece N98 400%+100%,NO,69900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbnikemain-730x438.png,https://kicksmania.ru/product/bearbrick-nike-tech-fleece-n98-400-100/
BearBrick Rosette Stone 1000%,NO,99900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbrsmain-730x438.png,https://kicksmania.ru/product/bearbrick-rosette-stone-1000/
Bearbrick Sulley 1000%,NO,119900,None,https://kicksmania.ru/wp-content/uploads/2023/11/sulleymain-730x438.png,https://kicksmania.ru/product/bearbrick-sulley-1000/
BearBrick SuperMan Hush 1000%,NO,99900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbsupermain-730x438.png,https://kicksmania.ru/product/bearbrick-superman-hush-1000/
BearBrick SuperMan Hush 400%+100%,NO,29900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbsuperman2main-730x438.png,https://kicksmania.ru/product/bearbrick-superman-hush-400-100/
BearBrick Teenage Mutant Ninja Turtles Michelangelo 400%+100%,NO,47900,None,https://kicksmania.ru/wp-content/uploads/2023/11/trtlmain-730x438.png,https://kicksmania.ru/product/bearbrick-teenage-mutant-ninja-turtles-michelangelo-400-100/
BearBrick The Joker 400%,NO,34900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbjokermain-730x438.png,https://kicksmania.ru/product/bearbrick-the-joker-400/
Bearbrick x Bape Baby Milo Flocky Ver. 100% & 400% Set,NO,47900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbbapemain-730x438.png,https://kicksmania.ru/product/bearbrick-x-bape-baby-milo-flocky-ver-100-400-set/
BearBrick x KITH Flock Style 400%,NO,74900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbkithmain-730x438.png,https://kicksmania.ru/product/bearbrick-x-kith-flock-style-400/
BearBrick x KITH Flock Style Grey 1000%,NO,224900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbkith1000main-730x438.png,https://kicksmania.ru/product/bearbrick-x-kith-flock-style-grey-1000/
BearBrick x Marvel Avengers Falcon 100% Keychain,NO,2900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbfalconmain-730x438.png,https://kicksmania.ru/product/bearbrick-x-marvel-avengers-falcon-100-keychain/
BearBrick x Marvel Avengers Galaxy Nebula 100% Keychain,NO,2900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbnemulamain-730x438.png,https://kicksmania.ru/product/bearbrick-x-marvel-avengers-galaxy-nebula-100-keychain/
BearBrick x Mastermind World Gold 400%+100%,NO,39900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbmmmain-730x438.png,https://kicksmania.ru/product/bearbrick-x-mastermind-world-gold-400-100/
BearBrick x SYNC x Lisa Larson Mikey 100%,NO,9900,None,https://kicksmania.ru/wp-content/uploads/2023/12/bbllmain-730x438.png,https://kicksmania.ru/product/bearbrick-x-sync-x-lisa-larson-mikey-100/
BearBrick MUVEIL Strawberry Pattern 100% & 400%,NO,27900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbamuvmain-730x438.png,https://kicksmania.ru/product/bearbrick-muveil-strawberry-pattern-100-400/
BearBrick Squid Game Frontman 100% & 400%,NO,29900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbsquidmain-730x438.png,https://kicksmania.ru/product/bearbrick-squid-game-frontman-100-400/
BearBrick The Batman 400%+100%,NO,42700,None,https://kicksmania.ru/wp-content/uploads/2023/01/batman400100-730x438.jpg,https://kicksmania.ru/product/bearbrick-the-batman-400-100/
BearBrick Tom Classic Color 400%+100%,NO,32900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbtjmain-730x438.png,https://kicksmania.ru/product/bearbrick-tom-jerry-tom-classic-color-100-400/
BearBrick Batman Hush 400%+100%,NO,32900,None,https://kicksmania.ru/wp-content/uploads/2022/09/medicom-toy-igrushka-batman-hush-100-400-768x461.jpg,https://kicksmania.ru/product/bearbrick-batman-hush-100-400/
BearBrick Batman Hush 1000%,NO,122900,None,https://kicksmania.ru/wp-content/uploads/2022/09/medicom-toy-igrushka-batman-hush-1000-768x461.jpg,https://kicksmania.ru/product/bearbrick-batman-hush-1000/
Bearbrick Garfield Flocky 400%+100%,NO,37900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbgarfieldflockymain-730x438.png,https://kicksmania.ru/product/bearbrick-garfield-flocky-400-100/
BearBrick Garfield Gold Chrome 1000%,NO,119900,None,https://kicksmania.ru/wp-content/uploads/2022/09/medicom-toy-igrushka-garfield-gold-chrome-1000-768x461.jpg,https://kicksmania.ru/product/medicom-toy-igrushka-garfield-gold-chrome-1000/
Bearbrick Tom Flocky 400%+100%,NO,39900,None,https://kicksmania.ru/wp-content/uploads/2022/06/bearbrick-tom-and-jerry-400-100-768x461.jpg,https://kicksmania.ru/product/bearbrick-tom-and-jerry-400-100/
BearBrick Joker 100% & 400%,NO,42900,None,https://kicksmania.ru/wp-content/uploads/2021/07/bearbrick-joker-400-100-768x461.jpg,https://kicksmania.ru/product/bearbrick-joker-400/
BearBrick Joker 1000%,NO,124900,None,https://kicksmania.ru/wp-content/uploads/2023/12/joker1000main-730x438.png,https://kicksmania.ru/product/bearbrick-joker-1000/
Bearbrick x Fragment Panda 1000%,NO,149900,None,https://kicksmania.ru/wp-content/uploads/2023/12/bbpandamain-730x438.png,https://kicksmania.ru/product/bearbrick-x-fragment-panda-1000/
BearBrick Pink Panther 1000%,NO,116300,None,https://kicksmania.ru/wp-content/uploads/2022/03/medicom-toy-igrushka-pink-panther-768x461.jpg,https://kicksmania.ru/product/bearbrick-pink-panther-1000/
BearBrick Pil White Chrome 400%+100%,NO,29900,None,https://kicksmania.ru/wp-content/uploads/2022/10/bearbrick-pil-white-chrome-400100--768x461.jpg,https://kicksmania.ru/product/bearbrick-pil-white-chrome-400-100/
BearBrick Psychedelic Paisley 1000%,NO,109900,None,https://kicksmania.ru/wp-content/uploads/2022/10/bearbrick-psychedelic-paisley-1000--768x461.jpg,https://kicksmania.ru/product/bearbrick-psychedelic-paisley-1000/
KAWS Small Lie Black,YES,69900 - 62910,None,https://kicksmania.ru/wp-content/uploads/2022/10/kaws-small-lie-black--768x461.jpg,https://kicksmania.ru/product/kaws-small-lie-black/
BearBrick Anthrax Notman 400%+100%,NO,24900,None,https://kicksmania.ru/wp-content/uploads/2022/09/medicom-toy-igrushka-anthrax-notman-100-400-768x461.jpg,https://kicksmania.ru/product/bearbrick-anthrax-notman-100-400/
BearBrick Benjamin Grant Overview Fuji 1000%,NO,116235,None,https://kicksmania.ru/wp-content/uploads/2022/09/medicom-toy-igrushka-benjamin-grant-overview-fuji-1000-768x461.jpg,https://kicksmania.ru/product/bearbrick-benjamin-grant-overview-fuji-1000/
BearBrick PiL Chrome 1000%,NO,119900,None,https://kicksmania.ru/wp-content/uploads/2022/09/medicom-toy-igrushka-pil-chrome-1000-768x461.jpg,https://kicksmania.ru/product/bearbrick-pil-chrome-1000/
BearBrick Stay Puft Marshmellow Man White 400%+100%,NO,38850,None,https://kicksmania.ru/wp-content/uploads/2022/09/medicom-toy-be@rbrick-stay-puft-marshmellow-man-white-chrome-version-100-400-bearbrick-768x461.jpg,https://kicksmania.ru/product/bearbrick-stay-puft-marshmellow-man-white-100-400/
BearBrick Toshusai Sharaku Actor Otani Oniji III As The Footman Yakko Edohei 400%+100%,NO,38850,None,https://kicksmania.ru/wp-content/uploads/2022/09/medicom-toy-igrushka-toshusai-sharaku-actor-otani-oniji-iii-as-the-footman-yakko-edohei-100-400-768x461.jpg,https://kicksmania.ru/product/bearbrick-toshusai-sharaku-yakko-edohei-400-100/
BEARBRICK Jerry 1000%,NO,99900,None,https://kicksmania.ru/wp-content/uploads/2022/03/igrushka-jerry-flocky-1000-768x461.jpg,https://kicksmania.ru/product/bearbrick-jerry-1000/
KAWS Companion Flayed Blush,YES,44900 - 40410,None,https://kicksmania.ru/wp-content/uploads/2022/06/kaws-open-edition-frayed-companion-red--768x461.jpg,https://kicksmania.ru/product/kaws-companion-flayed-blush/
BEARBRICK Tom 1000%,NO,99900,None,https://kicksmania.ru/wp-content/uploads/2022/03/igrushka-tom-flocky-1000-768x461.jpg,https://kicksmania.ru/product/bearbrick-tom-1000/
KAWS Small Lie Grey,YES,51900 - 46710,None,https://kicksmania.ru/wp-content/uploads/2023/03/kaws-sl-f-730x438.png,https://kicksmania.ru/product/kaws-small-lie-grey/
Disney x BearBrick Pinocchio 400%+100%,NO,44900,None,https://kicksmania.ru/wp-content/uploads/2023/03/bb-disney-f-730x438.png,https://kicksmania.ru/product/disney-x-bearbrick-pinocchio-400-100/
BearBrick Banksy Flying Balloons Girl 400%+100%,NO,44900,None,https://kicksmania.ru/wp-content/uploads/2022/10/bearbrick-banksy-flying-baloons-girl-400100--768x461.jpg,https://kicksmania.ru/product/bearbrick-banksy-flying-balloons-girl-400-100/
Bearbrick Eiffel Tower Tricolor 400%,NO,29900,None,https://kicksmania.ru/wp-content/uploads/2023/03/bearbrick-eifel-final-730x438.png,https://kicksmania.ru/product/bearbrick-eiffel-tower-tricolor-400/
BearBrick Marble 400%,NO,34900,None,https://kicksmania.ru/wp-content/uploads/2022/10/bearbrick-marble-400--768x461.jpg,https://kicksmania.ru/product/bearbrick-marble-400/
BearBrick Jerry Flocky 400%+100%,NO,39900,None,https://kicksmania.ru/wp-content/uploads/2022/09/medicom-toy-igrushka-jerry-flocky-100-400-768x461.jpg,https://kicksmania.ru/product/bearbrick-jerry-flocky-100-400/
